Was ist der zulässige Spannungsbereich bei USB 1.0 und USB 1.1?; 4,40 - 5,50 Volt
Was ist der zulässige Spannungsbereich bei USB 2.0?; 4,75 - 5,50 Volt
Was ist der zulässige Spannungsbereich bei USB 3.0 und USB 3.1?; 4,45 - 5,50 Volt
Was ist die maximale Stromstärke bei USB 1.0 und USB 1.1?; 0,1 A
Was ist die maximale Stromstärke bei USB 2.0?; 0,5 A
Was ist die maximale Stromstärke bei USB 3.0 und USB 3.1?; 0,9 A
Was ist die maximale Leistung bei USB 1.0 und USB 1.1?; 0,5 Watt
Was ist die maximale Leistung bei USB 2.0?; 2,5 Watt
Was ist die maximale Leistung bei USB 3.0 und USB 3.1?; 4,5 Watt
Welche Farbe hat der Eingang für das Mikrofon?; Rosa
Welche Farbe hat der Ausgang für Lautsprecher?; Grün
Welche Farbe hat der Eingang für externe Quellen?; Blau
Welche Farbe hat der Ausgang für Seitenlautsprecher?; Grau / Weiß
Welche Farbe hat der Ausgang für Center- und Tiefbasslautsprecher?; Orange
Welche Farbe hat der Ausgang für Rücklautsprecher?; Schwarz
VGA ist die Abkürzung des Begriffs?; Video Graphics Array
Was ist VGA?; VGA ist eine Schnittstelle zur Übertragung von analogen Signalen zwischen einer Grafikkarte und Anzeigegeräten.
Was ist DVI?; DVI ist eine Schnittstelle zur Übertragung von digitalen Signalen zwischen einer Grafikkarte und Anzeigegeräten.
Was ist HDMI?; HDMI ist eine Schnittstelle zur Übertragung von kopiergeschützten, hochauflösenden, digitalen Video- und Audiodaten.
PS/2 ist die Abkürzung des Begriffs?; Person System/2
Was ist PS/2?; PS/2 ist eine serielle Schnittstelle für Eingabegeräte.
RJ45 ist die Abkürzung des Begriffs?; Registered Jack 45
Was ist PCIe?; PCIe ist eine serielle Schnittstelle für Erweiterungskarten.
Was ist PCI?; PCI ist eine parallele Schnittstelle für Erweiterungskarten.
Was ist BIOS?; Das BIOS ist eine Schnittstelle zwischen Hardware und Betriebssystem.
POST ist die Abkürzung des Begriffs?; Power On Self Test
Was ist POST?; POST ist ein Test der beim Einschalten des Computers vom BIOS ausgeführt wird, bei dem die Hardware-Komponenten in Betrieb genommen und getestet werden.
Wann braucht man UEFI?; - 64-Bit Architektur\n- GPTSecure Boot\n- Boot Optionen bei Touch-Bedienung
Was ist der Kernel?; Der Kernel ist der zentrale Bestandteil eines Betriebssytems.
Was ist Display Port?; Der Display Port ist ein Verbindungsstandard für die Übertragung von digitalen Bild- und Tonsignalen.
Was ist FAT?; FAT ist ein Dateisystem, welches von Microsoft in 1977 entwickelt wurde.
Was ist NTFS?; NTFS ist ein proprietäres Dateisystem von Microsoft für alle Betriebssysteme der Windows NT Reihe (ab 1993).
Was ist exFAT?; exFAT ist ein speziell für Flash-Speicher entwickeltes Dateisystem.
Was ist HFS?; HFS ist ein Dateisystem, das von Apple für Computer mit der Macintosh System Software (ab 1996 in Mac OS umbenannt) entwickelt wurde.
Was ist Ext?; Ext ist ein Dateisystem welches als Erweiterung für das Minix-Dateisystem entwickelt wurde und ist seit 1992 Teil von Linux.
Was ist HPFS?; HPFS ist das Dateisystem von OS/2 und wurde 1989 mit der OS/2-Version 1.2 als erste Implementierung eines installierbaren Dateisystems (IFS) eingeführt.
Was ist SMART?; SMART ist ein Industriestandard zur Überwachung von HDDs und SSDs und dient der Vorhersage eines möglichen Ausfalls des Speichermediums.
Was ist SLC?; Eine SLC ist eine Speicherzelle, die aus NAND-Flash besteht und ein Bit speichern.
Was ist MLC?; Eine MLC ist eine Speicherzelle, die aus NAND-Flash bestehen und zwei Bit speichert.
Was ist UEFI?; UEFI ist eine von Intel in 1998 veröffentlichte Schnittstellen-Definition für Computer-Firmware.
Was ist Secure Boot?; Secure Boot ist ein Boot-Mechanismus, der das Booten auf vorher signierte Bootloader beschränkt.
Was ist SRAM?; SRAM ist ein flüchtiger Speicher, bei dem Daten solange gespeichert sind wie eine Betriebsspannung anliegt.
Was ist DRAM?; DRAM ist ein flüchtiger Speicher, bei dem Daten solange gespeichert sind wie eine Betriebsspannung anliegt. Außerdem müssen die Daten periodisch augefrischt werden, damit sie nicht verloren gehen.
Was ist SDRAM?; SDRAM ist ein getakteter, flüchtiger Speicher bei dem die Taktung durch den Systembus vorgegeben wird.
Was ist DDR-RAM?; DDR-RAM ist ein vom Systembus getakteter, flüchtiger Speicher bei dem Daten bei aufsteigender Flanke als auch bei absteigender Flanke übertragen werden.
Wie berechnet man die Kapazität eines Massenspeichers anhand der Anzahl der Sektoren und der Sektoren Größe?; Kapazität = Anzahl Sektoren ⋅ Sektor Größe
Wozu wird GPT benötigt?; - Für die Nutzung von GUID\n- Für die Nutzung von Datenträger bzw. Partitionen mit mehr als 2 TiB\n- Für die Nutzung von bis zu 128 bootfähigen Partitionen
Welche Windows Versionen sind mit UEFI kompatibel?; Desktop Windows Versionen ab Vista mit SP1 und Server Windows Versionen ab 2008.
Aus welchen vier Funktionseinheiten besteht die Architektur des Von-Neumann-Rechners?; Rechenwerk, Steuerwerk, Speicherwerk, Ein-/Ausgabewerk
Was ist der Chipsatz?; Der Chipsatz sind mehrere zusammengehörende integrierte Schaltkreise die zusammen anfallende Daten zwischen der CPU, dem Speicher, den verschiedenen Steckplätzen und den I/O-Schnittstellen verwaltet und koordiniert.
Was ist ein Register?; Ein Register ist ein Speicherbereich für Daten, auf die Prozessoren besonders schnell zugreifen können.
Welche Speichergröße haben Register?; Register haben meist die Größe einer Zweierpotenz, d.h. 8, 16, 32, 64, 128, 256 oder 512 Bit.
Wieviele Register werden pro Kern verwendet?; Die Anzahl der Register pro Kern variiert von fünf bis mehrere hundert.
Wieviel Speicherplatz hat üblicherweise der L1-Cache?; Der L1-Cache hat üblicherweise eine Speichergröße von wenigen hundert KB.
Wieviel Speicherplatz hat üblicherweise der L2-Cache?; Der L2-Cache hat üblicherweise eine Speichergröße von wenigen MB.
Wieviel Speichergröße hat üblichweise der L3-Cache?; Der L3-Cache hat üblicherweise eine Speichergröße von wenigen MB bis zu ca. 100 MB.
Wieviel Speicherplatz hat üblicherweise ein Arbeitsspeicher?; Ein Arbeitsspeicher hat üblicherweise bis zu 32 GB Speicherplatz.
Wieviel Speicherplatz hat üblicherweise eine HDD?; Eine HDD hat üblicherweise bis zu 16 TB oder mehr Speicherplatz.
Wieviel Speicherplatz hat üblicherweise eine SSD?; Eine SSD hat üblicherweise bis zu 4 TB oder mehr Speicherplatz.
Wie groß ist die Kapazität einer CD?; Eine CD hat genügend Kapazität für 650 MB Daten oder 74 Minuten Audio.
Wie groß ist die Kapazität einer DVD?; Eine DVD hat genügend Kapazität für 4,7 GB (Single Layer) oder 8,5 GB (Dual Layer).
Was sind die drei Grundbausteine der Datenträgerorganisation einer HDD?; Zylinder, Spuren, Sektoren
Was sind Spuren einer HDD?; Spuren sind konzentrische Kreispfade auf jeder Scheibenseite. Jede Spur eerhält eine Nummer. Die Spur 0 liegt am äußeren Rand.
Was sind Zylinder einer HDD?; Zylinder ist der Spurensatz, der auf allen Seiten der Platten im gleichen Abstand von der Mitte angelegt wird.
Was sind Sektoren einer HDD?; Sektoren sind Ausschnitte der Spuren in denen eine bestimmte Menge an Daten gespeichert werden kann.
Wie erfolgt das Lesen der Informationen bei einer HDD?; Das Lesen der Informationen erfolgt durch berührungsloses Abtasten der Magnetisierung der Plattenoberfläche.
Welche zwei Sektorengrößen werden üblicherweise genutzt?; 512 Bytes, 4096 Bytes
Angenommen man hat eine Datenträgerpartitionierung mit einer erweiterten Partition. Wieviele primäre Partitionen können maximal verwaltet werden?; Es können maximal drei primäre Partitionen verwaltet werden, wenn eine erweiterte Partition verwaltet wird.
Welche Nachteile hat eine SSD gegenüber einer HDD?; Hoher PreisBegrenzte KapazitätKürzere Lebensdauer bei häufigen Schreibvorgängen
